id,latitude,longitude
1001,-77.0236399178,38.9180128425
1002,-77.0240521628,38.9323966988
1003,-77.0245487447,38.9346032696
1004,-77.0242877627,38.9421331776
1005,-77.0272256085,38.9526920352
1006,-77.025230195,38.9565373912
1007,-77.0224633496,38.8969884947
1008,-77.0222036394,38.8951657017
1009,-77.0221789374,38.8957999855
1010,-77.0205014264,38.8932991187
1011,-77.0193500513,38.8931244626
1012,-77.022205298,38.8990128131
1013,-77.0216825361,38.8995055785
1014,-77.0216615994,38.8988927436
1015,-77.0214192811,38.8988944098
1016,-77.0210694907,38.8987914178
1017,-77.0207835185,38.9001069598
1018,-77.0203976685,38.900104055
1019,-77.0202102537,38.8994099935
1020,-77.0196627113,38.8999815773
1021,-77.0183206154,38.9004924793
1022,-77.0196843975,38.9113091227
1023,-77.0205260987,38.915349217
1024,-77.0207946871,38.9348605541
1025,-77.0220417495,38.9562068019
1026,-77.0155288259,38.9137881229
1027,-77.0124154545,38.9168576344
1028,-77.0137891443,38.9193027012
1029,-77.00990752,38.8963955923
1030,-77.0094780928,38.8970845876
1031,-77.0032801011,38.8946466318
1032,-77.0061791287,38.8975384698
1033,-77.0056163376,38.9062709277
1034,-77.0041167423,38.912413329
1035,-77.0045606162,38.9586892154
1036,-76.9998786074,38.9004569815
1037,-76.9986088722,38.9069740658
1038,-76.9959815258,38.8975407261
1039,-76.9959449032,38.9050221648
1040,-76.9949297208,38.9057756736
1041,-76.9924286637,38.9192220143
1042,-76.993850023,38.9364747277
1043,-77.0797950699,38.9487659491
1044,-77.072402519,38.9212812039
1045,-77.0658728632,38.9046969304
1046,-77.0651480952,38.9047597647
1047,-77.0659603581,38.9053097193
1048,-77.0657636701,38.9053071276
1049,-77.0653319905,38.9052723273
1050,-77.064226173,38.9053265402
1051,-77.0652113999,38.9114550936
1052,-77.0646058252,38.9094001764
1053,-77.068395647,38.9174605729
1054,-77.0652200943,38.9476939953
1055,-77.0652009857,38.9462252957
1056,-77.0625542421,38.9046838906
1057,-77.0619757135,38.9049426486
1058,-77.0614175727,38.9027745424
1059,-77.0633212806,38.9053527079
1060,-77.0586612437,38.9053640589
1061,-77.0583692847,38.936306814
1062,-77.0576597887,38.934836561
1063,-77.052678477,38.9002252106
1064,-77.0536700131,38.9034336262
1065,-77.0492744502,38.9019365724
1066,-77.0491035135,38.9048286864
1067,-77.049069866,38.9045184529
1068,-77.0494453647,38.9068492053
1069,-77.0485968792,38.9098302429
1070,-77.0486686355,38.9159734496
1071,-77.0522459642,38.9237141118
1072,-77.0520513977,38.9238431077
1073,-77.0469654209,38.8961818113
1074,-77.0471981982,38.899894334
1075,-77.0457758015,38.900355047
1076,-77.0446776394,38.8976247676
1077,-77.0481021879,38.9015298832
1078,-77.0476655936,38.9028917653
1079,-77.045731965,38.9015683999
1080,-77.0440550267,38.9011783519
1081,-77.047648979,38.905805794
1082,-77.0462819187,38.9059048949
1083,-77.0439368781,38.9066344857
1084,-77.0439368781,38.9066344857
1085,-77.0485212407,38.9098256801
1086,-77.0476866393,38.9114369856
1087,-77.0476261318,38.9094026562
1088,-77.047413105,38.9098132531
1089,-77.0469884864,38.9094984929
1090,-77.0460063402,38.9094305104
1091,-77.0440887671,38.9113760608
1092,-77.0435298654,38.9237774988
1093,-77.0431246536,38.9018874766
1094,-77.0421063446,38.9011118681
1095,-77.0419549948,38.9011420105
1096,-77.0400687183,38.9011362767
1097,-77.0398331975,38.9021757415
1098,-77.039738265,38.9049785428
1099,-77.0394665755,38.9044419173
1100,-77.0428472292,38.9058368407
1101,-77.0423429886,38.9084354824
1102,-77.0430926012,38.910469833
1103,-77.0382006565,38.9129698178
1104,-77.041893869,38.916017243
1105,-77.041879611,38.9172638211
1106,-77.0414886358,38.9143602144
1107,-77.0414253299,38.9153470999
1108,-77.0414227702,38.9172929007
1109,-77.0413930932,38.9160277811
1110,-77.041751658,38.9208791793
1111,-77.0416124756,38.9204901593
1112,-77.0415582959,38.9203237948
1113,-77.041469399,38.9199457469
1114,-77.0413169755,38.9173960836
1115,-77.0421524406,38.9219570615
1116,-77.0420008825,38.9215128256
1117,-77.0381545263,38.9312732134
1118,-77.0333907929,38.8969549837
1119,-77.0339878904,38.9005056372
1120,-77.0349058618,38.9044592237
1121,-77.0341290831,38.903578076
1122,-77.0332231468,38.9043091847
1123,-77.0355089188,38.906502406
1124,-77.0340599585,38.9053689565
1125,-77.0335825793,38.9066766566
1126,-77.037416903,38.9157514851
1127,-77.0372958201,38.9294027351
1128,-77.0376984789,38.9305758481
1129,-77.0329678342,38.9333576019
1130,-77.033019574,38.9362468197
1131,-77.033089581,38.9377279442
1132,-77.0330061162,38.938818512
1133,-77.0323447901,38.8964922481
1134,-77.0313718035,38.8963673872
1135,-77.029318027,38.8963233293
1136,-77.0283903872,38.8957090979
1137,-77.027909881,38.8959016323
1138,-77.0322737438,38.8976865065
1139,-77.0306227962,38.8981106142
1140,-77.0301597196,38.8975620353
1141,-77.0323140428,38.9029240451
1142,-77.0278069541,38.904809572
1143,-77.0315667336,38.9086078874
1144,-77.0315421522,38.9080334319
1145,-77.0322868539,38.9116253053
1146,-77.0316162569,38.9103069377
1147,-77.0326007803,38.9168407743
1148,-77.03246875,38.9168377482
1149,-77.0316277151,38.9166454708
1150,-77.0316258219,38.9173167722
1151,-77.0307384005,38.916790472
1152,-77.0306604012,38.9172098303
1153,-77.0306592932,38.9167784216
1154,-77.0324723475,38.9315764383
1155,-77.0322119641,38.9296192752
