asText(point)
"POINT(38.8316357457881 -76.9964313866679)"
"POINT(38.8338722220277 -76.9931989273504)"
"POINT(38.8428238961705 -76.9893318970804)"
"POINT(38.8521268174892 -76.9689942995936)"
"POINT(38.8537620869223 -76.9881147181416)"
"POINT(38.8571454903186 -76.9734925361901)"
"POINT(38.8599361809091 -76.9992158991585)"
"POINT(38.8584344692445 -76.9858303717673)"
"POINT(38.8617673914235 -76.9500162256291)"
"POINT(38.871998899941 -77.0122793103575)"
"POINT(38.8744528566058 -77.0115946094174)"
"POINT(38.8755573541661 -77.0135065945685)"
"POINT(38.8770049035217 -76.9973000741356)"
"POINT(38.8767266373067 -76.9999578802416)"
"POINT(38.8811042742252 -76.9373467677595)"
"POINT(38.8819511678863 -76.940800913129)"
"POINT(38.8864619295659 -76.9516420325555)"
"POINT(38.8878694945432 -76.9506988345259)"
"POINT(38.8879331613848 -76.9502848991122)"
"POINT(38.8847456508261 -76.9873075045331)"
"POINT(38.8926674571664 -76.9801027357268)"
"POINT(38.9000807738856 -77.0179467001055)"
"POINT(38.8998037172656 -76.9991512556431)"
"POINT(38.8975989679241 -76.9873227785623)"
"POINT(38.8970966137808 -76.9861853315509)"
"POINT(38.8965447069182 -76.9860677355149)"
"POINT(38.8963334296986 -76.987337951196)"
"POINT(38.8968853669927 -76.9877542160878)"
"POINT(38.897096795203 -76.9878156686728)"
"POINT(38.8963761187419 -76.9889177560917)"
"POINT(38.8955504021546 -76.9777157387391)"
"POINT(38.897191695355 -76.9767567480219)"
"POINT(38.8993052962294 -76.9731757242025)"
"POINT(38.9005832201085 -76.9734716610178)"
"POINT(38.9018361494435 -76.9503298955351)"
"POINT(38.9114198868223 -76.9375535834295)"
"POINT(38.9075351676396 -77.0330788491164)"
"POINT(38.9215304920565 -77.026153216452)"
"POINT(38.9176148616007 -77.0023677492088)"
"POINT(38.9183318453329 -77.0022763194136)"
"POINT(38.9222079119238 -77.0009293117903)"
"POINT(38.9123505032066 -77.0054735825549)"
"POINT(38.9209941340526 -76.9801206392802)"
"POINT(38.9205428261624 -76.9810044648482)"
"POINT(38.9258659110161 -76.9964740226309)"
"POINT(38.9253690862722 -77.0300612374256)"
"POINT(38.9276152826425 -77.0350819440978)"
"POINT(38.928550161578 -77.0414718439757)"
"POINT(38.9280775815307 -77.0427200988909)"
"POINT(38.9437090283168 -77.0350704267088)"
"POINT(38.947671856503 -77.0170850458418)"
"POINT(38.9554488275413 -77.0347027286809)"
"POINT(38.9771375075824 -77.0253175465926)"
"POINT(38.9188840258618 -77.0166163771819)"
"POINT(38.9191426566194 -77.0175411103387)"
"POINT(38.9322339118086 -77.0219020099178)"
"POINT(38.8947793388387 -76.9287365839732)"
"POINT(38.893753825378 -76.9244650966514)"
"POINT(38.9280680552056 -76.9607448243372)"
"POINT(38.9352631389462 -77.0434176371299)"
"POINT(38.8893391803753 -76.9161509486178)"
"POINT(38.8887106642641 -76.9178755138213)"
"POINT(38.8780574531578 -77.0143489549845)"
